Not a good reflection of the positive reviews,0
Can't get it Right! Overrated property!,0
Not value for money,0
Worst Resort Ever,0
Decent room but poor amenities,0
Not a very good place to stay,0
Not a good reflection of the positive reviews,0
Not value for money,0
Poor Food,0
Worst Resort ever,0
Decent room but poor amenities,0
Not a very good place to stay,0
Not a good reflection of the positive reviews,0
Not value for money,0
Poor Food,0
Not a good reflection of the positive reviews,0
Not value for money,0
Poor Food,0
Nice hotel with ridiculously priced wine,3
Nice hotel with ridiculously priced wine,3
Very professional,4
Holidays,3
Unprofessional and Worst Customer Service,1
some problem,3
Not a good reflection of the positive reviews,2
Expensive for what you get,3
Close to the Taj,3
Disappointed that pool wasn’t available,3
Bell Vista Club,4
Great location with calm serene resort Best package for couple and small family,4
Rude and unprofessional staff,1
Not value for money,2
average,3
Not a Peasant stay,1
Poor Food,2
Always a pleasure to visit Lebua,4
Hospitable Heritage Hotel,4
Good service,4
Good stay in front of the beach,4
Is it a Hotel Then what is hut,1
The most dirty hotel that i stayed,1
Terrible experience,1
Not a place for family,1
Dont visit the resort  by seeing the  pics uploaded in their website,1
Unworthy of Stay Period,1
Worst,1
Decent room but poor amenities,2
i booked the hotel for one night and was my worst experience of life,1
Worst Stay,1
Not a very good place to stay,2
Nice hotel with ridiculously priced wine,3
Very professional,4
Holidays,3
Good intermittent layover airport hotel,4
A new type of heaven being offered,5
Excellent service and Housekeeping,5
Perfect Airport Hotel,5
Excellent customer service,5
Couples Friendly,5
Beautiful restaurant friendly and delicious food Reasonable price,5
Excellent hotel location and price,5
Great rooftop restaurant and friendly staff,5
Good price cosy restaurant and good location,5
Very professional,4
Super Amazing Property with Super Friendly Staff,5
Stunning property,5
OMG! What a delightful paradise GREAT staff AWESOME food,5
Amazing stay in India,5
Holidays,3
Views are to die for,4
Best hotel in best location ,5
Excellent stay at awesome Resort,5
Good holidays,5
Shahpura House,4
Pleasant stay in beautiful Hotel,4
Excellent stay ,5
Beautiful traditional hotel very helpful staff  good location,5
Very nice stay I recommend,5
Nice Vacation,4
Not just a Retreat a true Treat,5
Best Retreat,5
True treat,5
The Villa Retreat Experience,5
Not a good reflection of the positive reviews,2
A decent place to stay with exceptional hospitality,4
Good place to chill after roaming the busy streets,5
Safe and comfy stay,5
colorfull Holi,5
Amazing city Varanasi.,4
A highly recommended hotel for convenience and service,4
An excellent choice to stay in all respects,5
Excellent stay in Varanasi at Hotel Buddha,5
Amazing Hotel with very courteous staff and cleanliness,5
Expensive for what you get,3
Clean and calm with AMAZING views!,5
"Friendly staff great service great food",5
"Excellent, Good~ ",5
Great place to stay in centre of Varanasi ,5
Nice stay near to Taj Mahal,5
My stay at the Taj Resorts,5
Good enough,5
Awesome hotel,5
Memories of the Taj,5
B'day with family,3
Beautiful hotel located near Taj.,4
Happy grand stay,4
couples are mostly welcome here,5
